City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nova sintra,14.8667,-24.7167,76.08,89,90,9.98,CV,1720471597
84,bethel,41.3712,-73.414,92.52,58,40,4.61,US,1720471560
85,carnarvon,-24.8667,113.6333,69.04,89,65,4.52,AU,1720471599
86,afaahiti,-17.75,-149.2833,82.27,73,51,13.29,PF,1720471600
87,visby,57.6409,18.296,59.83,94,40,6.91,SE,1720471601
88,yellowknife,62.456,-114.3525,74.41,56,40,6.91,CA,1720471602
89,labrador city,52.9463,-66.9114,71.19,52,75,38.01,CA,1720471603
90,nizhnyaya tavda,57.6731,66.1725,58.28,75,9,4.16,RU,1720471604
91,mogadishu,2.0371,45.3438,77.76,87,20,22.08,SO,1720471606
92,fomboni,-12.28,43.7425,77.32,70,25,8.63,KM,1720471607
93,chibougamau,49.9168,-74.3659,69.42,83,75,3.44,CA,1720471608
94,mili,6.0815,171.735,81.68,81,100,17.25,MH,1720471609
95,mokopane,-24.1944,29.0097,41.88,34,0,6.53,ZA,1720471610
96,happy valley-goose bay,53.3168,-60.3315,89.91,27,75,12.66,CA,1720471511
97,boden,65.8252,21.6886,59.0,72,94,2.1,SE,1720471612
98,badger,64.8,-147.5333,62.51,62,75,11.5,US,1720471613
99,al ghayzah,16.2079,52.176,80.64,87,74,9.31,YE,1720471614
100,college,64.8569,-147.8028,62.58,62,75,11.5,US,1720471615
101,port alfred,-33.5906,26.891,54.18,49,64,11.01,ZA,1720471617
102,georgetown,5.4112,100.3354,80.53,83,20,2.3,MY,1720471511
103,ariano irpino-martiri,41.1489,15.0833,73.38,62,0,1.79,IT,1720471619
104,pisco,-13.7,-76.2167,68.05,73,20,10.36,PE,1720471393
105,alamos,27.0167,-108.9333,97.29,41,5,6.76,MX,1720471511
106,viedma,-40.8135,-62.9967,41.38,44,100,4.92,AR,1720471622
107,mo i rana,66.3128,14.1428,57.67,83,100,9.22,NO,1720471396
108,thompson,55.7435,-97.8558,80.76,36,75,8.05,CA,1720471624
109,galle,6.0367,80.217,80.89,84,100,8.88,LK,1720471625
110,portland,45.5234,-122.6762,99.95,31,0,5.99,US,1720471627
111,villa juarez,24.6536,-107.5411,94.44,49,92,14.16,MX,1720471628
